Threads: 39 total,   1 running,  38 sleeping,   0 stopped,   0 zombie
  Mem:  3892048K total,  3813972K used,    78076K free,    44220K buffers
 Swap:  2140092K total,   853140K used,  1286952K free,  1232708K cached
800%cpu 146%user   0%nice  79%sys 569%idle   0%iow   0%irq   5%sirq   0%host
%CPU]  TID NAME
 0.0 31496 com.solodevlab.solara
 0.0 31497 com.solodevlab.solara
 0.0 31494 com.solodevlab.solara
 0.0 31493 com.solodevlab.solara
-1.-2 31578 com.solodevlab.solara



Threads: 32 total,   2 running,  30 sleeping,   0 stopped,   0 zombie
  Mem:  3892048K total,  3825940K used,    66108K free,    46984K buffers
 Swap:  2140092K total,   852372K used,  1287720K free,  1238128K cached
800%cpu 159%user   0%nice  73%sys 565%idle   0%iow   0%irq   3%sirq   0%host
%CPU]  TID NAME
66.9 31523 com.solodevlab.solara
64.5 31488 com.solodevlab.solara
20.3 31610 com.solodevlab.solara
 7.0 31528 com.solodevlab.solara
 6.1 31533 com.solodevlab.solara
 1.8 31540 com.solodevlab.solara
 1.1 31502 com.solodevlab.solara
 1.0 31531 com.solodevlab.solara
 0.7 31538 com.solodevlab.solara
 0.6 31505 com.solodevlab.solara
 0.2 31578 com.solodevlab.solara
 0.2 31529 com.solodevlab.solara
 0.0 31611 com.solodevlab.solara
 0.0 31542 com.solodevlab.solara
 0.0 31524 com.solodevlab.solara
 0.0 31525 com.solodevlab.solara
 0.0 31526 com.solodevlab.solara
 0.0 31527 com.solodevlab.solara
 0.0 31517 com.solodevlab.solara
 0.0 31516 com.solodevlab.solara
 0.0 31515 com.solodevlab.solara
 0.0 31513 com.solodevlab.solara
 0.0 31503 com.solodevlab.solara
 0.0 31500 com.solodevlab.solara
 0.0 31498 com.solodevlab.solara
 0.0 31499 com.solodevlab.solara
 0.0 31494 com.solodevlab.solara
 0.0 31496 com.solodevlab.solara
 0.0 31495 com.solodevlab.solara
 0.0 31497 com.solodevlab.solara
 0.0 31493 com.solodevlab.solara
0.-5 31574 com.solodevlab.solara



Threads: 32 total,   2 running,  30 sleeping,   0 stopped,   0 zombie
  Mem:  3892048K total,  3818216K used,    73832K free,    47016K buffers
 Swap:  2140092K total,   852372K used,  1287720K free,  1238128K cached
800%cpu 190%user   0%nice  84%sys 522%idle   0%iow   0%irq   5%sirq   0%host
%CPU]  TID NAME
81.2 31523 com.solodevlab.solara
72.0 31488 com.solodevlab.solara
11.3 31762 com.solodevlab.solara
 9.2 31533 com.solodevlab.solara
 8.6 31528 com.solodevlab.solara
 3.1 31766 com.solodevlab.solara
 1.8 31531 com.solodevlab.solara
 1.6 31538 com.solodevlab.solara
 1.5 31747 com.solodevlab.solara
 1.5 31502 com.solodevlab.solara
 1.1 31505 com.solodevlab.solara
 0.5 31578 com.solodevlab.solara
 0.1 31529 com.solodevlab.solara
 0.0 31610 com.solodevlab.solara
 0.0 31611 com.solodevlab.solara
 0.0 31524 com.solodevlab.solara
 0.0 31525 com.solodevlab.solara
 0.0 31526 com.solodevlab.solara
 0.0 31527 com.solodevlab.solara
 0.0 31517 com.solodevlab.solara
 0.0 31516 com.solodevlab.solara
